,KEY,sarcasm_explanation
10,2_221_u,"The video is non-sarcastic because despite the speaker's use of a playful and humorous tone, the underlying sentiment is one of authority and concern, aiming to educate or deter the listener about the dangers of jumping on the bed. The speaker's facial expressions, such as raised brows and a tightened upper lid, suggest surprise and doubt, rather than sarcasm. Additionally, the shift in tone when mentioning ""your parents told you"" implies a more serious undertone, indicating that the speaker is genuinely trying to make a point rather than being sarcastic."
11,1_S12E17_085_u,"The video is non-sarcastic. Although the speaker's utterance ""Was one of the options the option to never come back?"" conveys frustration and annoyance, the tone is more matter-of-fact and inquiring rather than ironic or mocking. The speaker's assertive and confident tone, steady pace, and consistent volume also suggest a genuine expression of dissatisfaction rather than sarcasm. The facial cues, such as the brow lowered and lip corner pulled, may indicate a sense of doubt or frustration, but they do not strongly suggest sarcasm. Overall, the speaker's sentiment is negative, but it is a genuine expression of dissatisfaction rather than a sarcastic remark."
12,4_S03E05_008_u,"The video is sarcastic because the speaker's tone is informal, conversational, and ironic, with a hint of annoyance and frustration, conveying skepticism and dismissal towards concepts like global warming and evolution. The use of phrases like ""keeps me up at night"" and ""other fictional concepts"" suggests facetiousness, and the speaker's grouping of these concepts together implies they are all equally unbelievable. The speaker's facial expressions, such as a raised brow and raised cheek, also indicate contempt, further supporting the sarcastic tone."
13,3_S01E03_024_u,"The video is non-sarcastic because the speaker's utterance ""Is it a margarita machine?"" conveys a sense of curiosity and playfulness, with a lighthearted and inquiring tone. The sentiment is neutral to slightly positive, without any strong emotions like anger, sadness, or fear. The speaker's facial expressions, such as a lowered brow and raised upper lid, suggest doubt, which aligns with the genuine and innocent tone of the question. The speaker's tonality also shifts from neutral to slightly deeper and more resonant, implying sincerity and a desire for clarification. Overall, the absence of irony, mocking tone, and strong emotions indicates that the video is non-sarcastic."
14,1_S10E03_224_u,"The video is non-sarcastic because the speaker's utterance ""My head hurts and I'm more tired than ever"" conveys a genuine feeling of discomfort and exhaustion, with a tone that is matter-of-fact and distressed rather than ironic or playful. The speaker's vocal cues, such as the initial sigh, heightened pitch, and quicker pace, also suggest a sentiment of distress or annoyance. Furthermore, the speaker's facial expressions, including raised brows, wrinkled nose, and tightened lips, indicate a range of emotions including sadness, doubt, and frustration, but no hint of sarcasm."
15,1_S10E03_177_u,"The video is non-sarcastic because the speaker's utterance, ""Let's science the feces out of this!"", is driven by enthusiasm and eagerness, conveyed through an energetic and motivational tone. The quote's humorous and playful nature, along with the clarification that it's from ""The Martian"" and not ""Marvin the Martian"", adds a lighthearted touch, suggesting the speaker is approachable and doesn't take themselves too seriously. The speaker's facial expressions, such as raised brows, cheek, and lip corners, and a dimple, indicate happiness and surprise, further supporting a non-sarcastic tone. The overall sentiment is positive and optimistic, with the speaker exuding confidence and motivation, eager to tackle a challenge."
16,1_S11E05_306_u,"The video is non-sarcastic because despite the speaker's utterance having a hint of sarcasm, the overall tone is lighthearted and humorous, suggesting playfulness rather than mockery. The speaker's facial expressions, such as raised cheeks and lip corners, and the emotional journey from neutral to cheerful, further support a non-sarcastic tone. Additionally, the laboratory setting and the speaker's enthusiastic tone while discussing the brain imply a sense of excitement and eagerness, rather than irony or ridicule."
17,2_522_u,"The video is non-sarcastic because the speaker's utterance ""Yes it is"" conveys a sense of indifference or nonchalance, with a neutral sentiment leaning slightly towards positivity. The tone is straightforward and lacks irony or mocking, which are typical characteristics of sarcasm. Additionally, the speaker's facial expressions, which display a range of emotions including happiness, sadness, and doubt, do not suggest sarcasm. Overall, the speaker's tone and facial cues suggest a genuine and non-sarcastic communication."
18,2_102_u,"The video is sarcastic because of the speaker's tone, facial expressions, and utterance. The phrase ""No Blanche"" has a slightly mocking and playful tone, implying sarcasm. The speaker's facial expressions, such as raised brows, tightened lids, and wrinkled nose, convey underlying feelings of annoyance and irritation. Additionally, the speaker's assertive and straightforward tone, with a hint of frustration, suggests a sarcastic tone. The context of the conversation, where the speaker is expressing discontent and disappointment towards the frequent changes made to the taste of Coca-Cola, also supports the sarcastic label."
19,2_421_u,"The video is sarcastic because the speaker's utterance is absurd and nonsensical, claiming that laser eye surgery can fix a hernia, which is a clear exaggeration. The tone is playful and tongue-in-cheek, with a hint of irony and absurdity, suggesting that the speaker is joking or being facetious. The speaker's facial expressions, such as a slightly smiling face, raised eyebrows, and a tightened lid, also convey a sense of humor and lightheartedness. Additionally, the contrast between the spoken words and the emotion conveyed, as well as the moderate amplitudes and balanced delivery, further support the conclusion that the video is sarcastic."
20,1_5751_u,"The video is non-sarcastic because despite the speaker's use of exaggerated and playful language, such as ""cutie pie,"" the tone is lighthearted and teasing, conveying affection and admiration. The sentiment is overwhelmingly positive, and the tone is tongue-in-cheek, indicating a playful and humorous intention rather than sarcasm. Additionally, the speaker's facial expressions, such as raised cheeks and lip corners, and the possible emotions observed, including happiness, further support a non-sarcastic interpretation."
21,2_371_u,"The video is non-sarcastic because the speaker's utterance ""I-I'm really sorry"" conveys a genuine tone of remorse and regret, accompanied by physical cues such as a stutter, raised inner brow, wrinkled nose, and depressed lower lip, indicating anxiety and nervousness. The overall sentiment and facial expressions suggest a heartfelt apology, with no hint of sarcasm."
22,1_6683_u,"The video is sarcastic because the speaker's utterance ""Yeah, terrific"" is ironic and facetious, implying the opposite of what the words literally mean. The tone and language used, particularly in the phrase ""hurtling through space with a guy named 'Crash,'"" convey disapproval and skepticism, and the use of quotation marks around the name ""Crash"" adds to the sarcastic tone. The speaker's assertive and confident tone, along with the subtle changes in volume and pitch, also suggest a sarcastic tone. Additionally, the speaker's facial expressions, such as raised brows and tightened lips, indicate emotions like contempt and doubt, which are consistent with a sarcastic tone."
23,1_3177_u,"The video is non-sarcastic because the speaker's tone is genuine and matter-of-fact, with no apparent irony or mocking intent. The sentiment expressed is neutral to slightly positive, with a shift towards positivity when describing the desert scenery. The speaker's facial expressions, such as raised brows and parted lips, suggest emotions like surprise and doubt, but not sarcasm. The peaceful and serene video context, featuring three men enjoying each other's company around a campfire, also supports a non-sarcastic tone."
24,1_S10E10_376_u,"The video is non-sarcastic because the speaker's utterance conveys a genuine emotional response, expressing longing and nostalgia with a melancholic tone. The language used is straightforward and sincere, without any hint of irony or tongue-in-cheek. The speaker's tone shifts from neutral to somber and introspective, reflecting the emotional weight of the topic. The facial expressions, including raised brows, tightened lids, and a wrinkled nose, suggest a contemplative and sorrowful state. The overall sentiment is one of sadness and pensiveness, further supporting the non-sarcastic label."
25,1_S10E09_066_u,"The video is sarcastic because the speaker's utterance, ""You know what, I've met Bert. Isn't he an indicator of life on other planets?"", is laced with irony, humor, and exaggeration, implying that the speaker doesn't actually believe Bert has any connection to extraterrestrial life. The tone is lighthearted and tongue-in-cheek, with a hint of playfulness, and the facial expressions convey emotions such as surprise, contempt, and happiness, further reinforcing the sarcastic tone."
26,1_10859_u,"The video is non-sarcastic because despite a hint of sarcasm in the phrase ""I don't need a reason,"" the overall tone and sentiment expressed by the speaker are assertive, confident, and authoritative. The speaker's firm and assertive tone, medium-to-high pitch, and facial expressions such as a raised chin and tightened lips convey a sense of conviction and ownership. While there is a subtle tone of annoyance or frustration, it is overshadowed by the dominant tone of confidence and authority, indicating that the speaker is not being overtly sarcastic."
27,1_S09E07_285_u,"The video is sarcastic because the speaker's utterance ""somebody needs a fresh diaper"" is a clear indicator of sarcasm, as it's an immature and childish remark meant to be condescending and mocking. This phrase, combined with the speaker's tone, which shifts from neutral to informal and slightly aggressive, and their facial expressions, which convey a mix of emotions including happiness and surprise, suggest that the speaker is being facetious and ironic. The overall sentiment expressed is negative, with a sense of exasperation and irritation, further supporting the conclusion that the video is sarcastic."
28,1_7938_u,"The video is non-sarcastic because the speaker's utterance ""Come on, let's just start walking. There's got to be a gas station or something nearby"" conveys a sense of urgency and frustration, but lacks any hint of irony or mocking tone. The speaker's tone is slightly elevated, indicating agitation, and their facial expressions show a mix of anxiety and anticipation. The language used is straightforward and practical, and the overall sentiment is one of mild annoyance or irritation, rather than sarcasm."
29,2_8_u,"The video is non-sarcastic because the speaker's tone is matter-of-fact and descriptive, conveying a neutral sentiment without any enthusiasm or strong feelings. The language used is straightforward, lacking any ironic or mocking tone, and the speaker's facial expressions and emotions observed throughout the video, such as sadness and doubt, are genuine and not indicative of sarcasm."
30,1_S10E01_474_u,"The video is sarcastic because the speaker's utterance ""Is he? I never noticed"" conveys indifference and nonchalance, with a hint of sarcasm in the phrase ""I never noticed"", implying that the topic is not important. The speaker's tone is assertive and confident, but also somewhat dismissive, which adds to the sarcastic tone. Additionally, the speaker's facial expressions, such as raised brows and tightened lids, suggest emotions like contempt and doubt, which are consistent with a sarcastic tone."
31,1_S09E04_230_u,"The video is non-sarcastic because the speaker's utterance ""Well, it's Thai food night"" conveys genuine excitement and enthusiasm, supported by a casual and informal tone, a rising pitch, and increased volume towards the end of the sentence. The speaker's facial expressions, including raised brows, cheek, and lip corners, also indicate happiness and positivity. The absence of irony, tongue-in-cheek tone, and any hint of sarcasm in the language used further reinforces the non-sarcastic nature of the video."
32,1_2616_u,"The video is sarcastic because the speaker's tone is assertive and slightly aggressive, but with a hint of sarcasm in the delivery, particularly in the phrase ""Sure, maybe a tableau of me trying to pummel you to death,"" which suggests the speaker is not being entirely sincere or is mocking the listener. Additionally, the speaker's facial expressions, such as raised eyebrows and tightened lips, convey a sense of contempt or doubt, which further supports the sarcastic tone."
33,3_S06E03_366_u,"The video is sarcastic because the speaker's utterance ""The-the same way we can buy America and everything in it"" conveys irony, skepticism, and criticism towards the idea of buying a country, with a hint of sarcasm. The tone is playful and mocking, with a noticeable shift towards a more assertive and emphatic tone, suggesting a heightened urgency or emphasis on the point being made. The speaker's facial expressions, such as raised brows, tightened lids, and wrinkled nose, also indicate doubt and skepticism, further supporting the conclusion that the video is sarcastic."
34,1_S10E02_123_u,"The video is non-sarcastic because the speaker's utterance, ""Oh, my God, it was me, it was me! I'm the one who blabbed she was pregnant!"", conveys a sense of genuine remorse and anxiety, with a tone that is confessional and straightforward. The use of phrases like ""Oh, my God"" and the repetitive ""it was me"" suggests a sense of urgency and distress, indicating that the speaker is deeply troubled by their actions. The speaker's facial expressions, including raised brows, a dropped jaw, and a tightened lip, also suggest surprise and doubt, rather than irony or mocking. Overall, the language, tone, and facial cues all point to a sincere and apologetic sentiment, rather than a sarcastic one."
35,3_S01E05_456_u,"The video is sarcastic because of the speaker's utterance, which conveys confidence and playfulness with a hint of cheekiness, implying a subtle, tongue-in-cheek quality. The tone shifts from neutral to upbeat and enthusiastic, and the facial expressions, such as raised brows and tightened lids, suggest emotions like surprise and contempt, which are often associated with sarcasm. The overall sentiment is positive, but with a hint of humor and teasing, which further supports the label of sarcasm."
36,2_236_u,"The video is sarcastic because of the speaker's utterance, ""Gee, if only she were one and had no idea what a birthday was,"" which conveys a sense of irony and facetiousness. The tone is lighthearted and humorous, but with an underlying sense of nostalgia and wistfulness. The speaker's use of the phrase ""Gee"" adds informality, and the elongated ""if"" sound and harsh intonation suggest a moment of frustration or annoyance. The speaker's facial expressions, including raised brows, wrinkled nose, and parted lips, also indicate a sense of sadness and doubt. Overall, the speaker's tone and language suggest a sarcastic tone, particularly in the phrase ""if only she were one and had no idea what a birthday was."""
37,2_351_u,"The video is sarcastic because the speaker's utterance, ""No Rose, she is depressed because Marvel had manners on only once a week"", conveys a lighthearted and tongue-in-cheek tone, with a hint of sarcasm. The absurdity of the reason given for Rose's depression, the use of hyperbole, and the obvious irony in the statement all suggest that the speaker is being facetious and poking fun at the idea that someone would be depressed due to a trivial reason. Additionally, the speaker's facial expressions, such as a lowered brow and raised cheek, and the contrast between the initial happiness and subsequent gloomy mood, further reinforce the sarcastic tone."
38,1_6165_u,"Here is a concise yet comprehensive summary:

The speaker's utterance ""Yes, there's nothing quite like the slightly widened eyes of mildly startled"" conveys amusement, playfulness, and gentle humor, with a hint of irony and sarcasm. The use of over-the-top phrases like ""nothing quite like"" and clever understatements like ""slightly widened eyes"" contribute to the sarcastic tone. The speaker's tonality, shifting from neutral to elevated and animated, and their facial expressions, including raised brows and parted lips, also suggest surprise or astonishment. The overall sentiment is cheerful and humorous, but with a dash of irony and sarcasm, indicating that the video is sarcastic."
39,2_86_u,"Here is a concise summary:

The video is non-sarcastic because the speaker's tone is warm and inviting, conveying a sense of happiness and ease. The consistent, melodic intonation and steady volume suggest a calm and positive atmosphere. The speaker's facial expressions, although showing doubt, do not contradict the overall warm and welcoming tone. The context of the video, featuring a man in a suit and tie being impressed by a ring in a restaurant, also supports a non-sarcastic interpretation."
40,4_S03E15_012_u,"The video is non-sarcastic because the speaker's tone is assertive yet calm, indicating a composed demeanor, and the sentiment conveyed is one of perseverance and readiness for action. The speaker's facial expressions, such as a raised inner brow and tightened lid, suggest surprise and doubt, but not sarcasm. Additionally, the speaker's utterance ""No, I'll keep going even if I killed him"" conveys determination and defiance, with no obvious hint of sarcasm. The overall context of the video, featuring a serious conversation between two men in a dimly lit room, also supports a non-sarcastic tone."
41,1_S12E04_027_u,"Here is a concise summary:

The speaker's utterance ""I didn't just drink the crazy milk, I bought the crazy cow"" conveys humor, playfulness, and whimsy, with a hint of sarcasm. The tone shifts from neutral to upbeat and enthusiastic, accompanied by laughter, indicating amusement and lightheartedness. The speaker's facial expressions, such as raised brows and lip corners, also suggest happiness and possibly contempt. While the overall sentiment is positive and playful, the tongue-in-cheek tone and exaggerated language imply sarcasm."
42,2_78_u,"The video is non-sarcastic because the speaker's utterance ""I didn't know you and Carol were getting divorced, I'm sorry"" conveys empathy and concern, with a gentle and apologetic tone, expressing sympathy and kindness. The language used is sincere and heartfelt, with no irony or mocking tone. The speaker's facial expressions, including raised brows, tightened lids, and lip corners, suggest emotions like happiness, surprise, and doubt, but not sarcasm. The overall context of the scene from the TV show ""Cheers"" also supports a non-sarcastic interpretation, as the characters are engaged in a serious discussion about work-related matters."
43,2_337_u,"The video is non-sarcastic because the speaker's tone is assertive, straightforward, and neutral, with a subtle undercurrent of urgency, indicating a genuine request. The language used is direct and straightforward, without any irony or mocking tone that would suggest sarcasm. Additionally, the speaker's facial expressions, although showing a mix of emotions such as happiness and doubt, do not convey a sense of mockery or irony, further supporting the non-sarcastic label."
44,1_11224_u,"The video is sarcastic because the speaker's utterance ""You just keep talking"" conveys a sense of annoyance and frustration, implying that they feel lectured or talked at, rather than being listened to or understood. The tone is slightly ironic and annoyed, and the use of hyperbolic language (""I'm gonna chew my leg off"") adds to the sarcastic tone. Additionally, the contrast between the spoken words and the laughter that punctuates the speech suggests a humorous or ironic undertone, further supporting the label of sarcasm."
45,3_S06E02_398_u,"The video is non-sarcastic because the speaker's utterance ""Look, we cannot take blood money"" conveys a strong sense of principle and ethics, implying that accepting ""blood money"" would be wrong or unethical, with a primary underlying emotion of moral outrage or indignation. The tone is straightforward and serious, conveying a sense of conviction and moral conviction. The speaker's facial expressions, such as raised brows and tightened lips, suggest emotions like surprise, contempt, and doubt, but no hint of sarcasm. The overall sentiment is negative, with a tone that shifts from firm and assertive to subdued and cautious, indicating caution and concern."
46,1_S12E04_233_u,"The video is non-sarcastic because the speaker's utterance ""How did I betray you?"" conveys a sense of deep hurt and possibly even shock, with an accusatory tone. The language used is direct and serious, and the tone is genuine and emotional, without any hint of sarcasm. Additionally, the speaker's facial expressions, such as a raised inner brow, lowered brow, and tightened lips, suggest a range of emotions including sadness, doubt, and contempt, but not sarcasm. The overall sentiment expressed is negative, with a confrontational tone, further supporting the non-sarcastic label."
47,1_S10E09_021_u,"The video is sarcastic because the speaker's utterance ""Oh, good, maybe he can build a nicer bridge to live under"" conveys irony and frustration, with a tone that is intentionally humorous and mocking. The use of ""Oh, good"" at the beginning of the sentence comes across as insincere and sarcastic, implying that the speaker does not genuinely believe the person in question is capable of building a ""nicer bridge to live under."" The overall sentiment expressed is one of skepticism and disdain, with a strong hint of sarcasm in the speaker's language and tone."
48,2_253_u,"The video is non-sarcastic because the speaker's utterance ""Yeah!"" conveys strong enthusiasm and positivity, which is reinforced by the warm and inviting tone, steady pace, and upbeat intonation. The absence of any hint of sarcasm in the tone and the consistent, calm, and composed demeanor further support this conclusion. Additionally, the speaker's facial expressions, although showing doubt in some segments, do not suggest irony or mocking, which are typical characteristics of sarcasm."
49,2_546_u,"The video is sarcastic because of the speaker's utterance ""Oh sure, she was probably up all night excited about the party she knows is happening,"" which conveys skepticism and doubt with a hint of sarcasm. The use of ""Oh sure"" at the beginning of the sentence is a clear indicator of sarcasm, implying that the speaker does not believe the person in question was actually excited about the party. The tone is informal, conversational, and ironic, with a noticeable shift towards assertiveness and emphasis around the word ""probably."" The speaker's facial expressions, including raised brows, tightened lids, and a wrinkled nose, also suggest emotions like doubt and contempt, further supporting the conclusion that the video is sarcastic."
50,4_S01E07_126_u,"The video is non-sarcastic because despite the speaker's defensive and annoyed tone, the phrase ""True, but not relevant"" is delivered in a straightforward and matter-of-fact way, without any significant variations in tone, intonation, or amplitude. The speaker's tone shifts from neutral to assertive, but the delivery remains steady and lacks emotional cues, suggesting a genuine attempt to correct a misconception rather than a sarcastic remark."
51,1_11723_u,"The video is non-sarcastic because the speaker's tone is genuinely neutral and observational, lacking any irony or mocking tone. The language used is straightforward, and the sentiment expressed is neutral to mildly positive, conveying a sense of relief or contentment. The speaker's facial expressions and tone of voice, characterized by a consistent monotony and calmness, also suggest a lack of sarcasm."
52,1_1798_u,"The video is sarcastic because the speaker's utterance ""If you don't like this stuff, let's go next door and build her a bear"" conveys a sense of frustration and negativity, with a tone that is playful yet exasperated. The absurdity of the suggested solution (""build her a bear"") implies facetiousness and annoyance, which are characteristic of sarcasm. Additionally, the speaker's assertive and direct tone, along with the palpable tension and urgency in their voice, contribute to the overall sarcastic tone. The speaker's facial expressions, such as raised brows and a wrinkled nose, also suggest doubt and frustration, further supporting the conclusion that the video is sarcastic."
53,3_S02E01_096_u,"The video is non-sarcastic because the speaker's tone is primarily frustrated and annoyed, with a sense of urgency and importance. The use of the phrase ""that fat guy"" suggests disdain, but the overall tone is straightforwardly annoyed rather than witty or ironic, which are typical characteristics of sarcasm. The speaker's facial expressions, such as raised brows and tightened lips, also convey a sense of seriousness and emotional intensity, rather than playful or mocking intent. Additionally, the speaker's shift in tone from assertive to controlled suggests an attempt to maintain composure, further supporting the non-sarcastic label."
54,2_365_u,"The video is non-sarcastic because the speaker's utterance, tone, and facial expressions convey enthusiasm, surprise, and playfulness, without any hint of irony or mocking. The use of casual language, rhetorical questions, and a noticeable shift in tone from neutral to upbeat and enthusiastic suggest a genuine sense of excitement and amusement. The speaker's facial expressions, including raised brows, cheek, and lip corners, as well as a dimple, further reinforce the idea that the speaker is genuinely happy and engaged, rather than being sarcastic."
55,4_S01E05_120_u,"The video is non-sarcastic because the speaker's utterance ""But she's always with you in spirit"" conveys comfort and reassurance, with a soothing and calming tone. The language is straightforward and sincere, without any apparent irony or mocking tone. The sentiment is genuinely positive and supportive, and the speaker's facial expressions and tone suggest a composed and steady demeanor, with possible emotions of sadness, but no hint of sarcasm."
56,1_S11E06_391_u,"The video is non-sarcastic because the speaker's tone is confrontational and aggressive, conveying a sense of defensiveness, frustration, and anger. The use of the word ""irresponsible"" suggests indignation or hurt pride, and the speaker's facial expressions, such as raised brows and tightened lips, indicate negative emotions. The shift in intonation and volume also suggest an escalation in intensity, further supporting a non-sarcastic tone. In contrast, the speaker's facial expressions and body language, such as smiling and a happy mood, are inconsistent with the overall negative sentiment, but do not suggest sarcasm."
57,1_7487_u,"Based on the provided description, the video is actually sarcastic. Here's a concise summary:

The speaker's utterance ""Yeah, well, Bernadette's a little under the weather and my mom's kind of under my dentist"" conveys a primary underlying emotion of humor, specifically a dry and witty tone, with a playful sarcastic sentiment. The use of clever wordplay, irony, and exaggeration to create a humorous effect, along with the tongue-in-cheek tone, suggests sarcasm. The speaker's facial expressions, such as raised brows and tightened lips, also indicate a playful and humorous tone, which is consistent with sarcasm."
58,2_148_u,"The video is sarcastic because the speaker's utterance ""Hey, that's Joincidence with a C"" conveys a playful and humorous tone, with a hint of sarcasm. The use of ""Joincidence"" instead of ""coincidence"" and the addition of ""with a C"" imply a tongue-in-cheek tone, suggesting the speaker is making a joke or exaggerating a point. The speaker's facial expressions, such as raised brows, wrinkled nose, and lip corner pulled, also indicate a sense of amusement and playfulness, further supporting the sarcastic label."
59,1_S10E10_009_u,"The video is sarcastic because the speaker's utterance, ""You know, I have always thought that this couch would look fantastic on the curb in front of the building,"" conveys a negative sentiment with a tone of exasperation and frustration, implying that the couch is unwanted. The use of the phrase ""would look fantastic"" is particularly ironic, suggesting that the speaker is being sarcastic. Additionally, the speaker's tone shifts from neutral to animated and emphatic, further emphasizing the sarcastic tone. The facial cues, such as raised brows and tightened lips, also support the conclusion that the video is sarcastic."
60,2_31_u,"The video is sarcastic because the speaker's utterance ""Even if people are on it!"" conveys a sense of frustration, annoyance, and resignation, with a tone that is dismissive, exasperated, and tongue-in-cheek. The facial cues, such as raised brows and tightened lids, also suggest contempt and doubt, which are emotions often associated with sarcasm. Despite a brief shift to a more upbeat tone, the overall sentiment remains negative, implying that the speaker's words are not meant to be taken literally."
61,4_S01E07_135_u,"The video is non-sarcastic because despite the speaker's utterance conveying defensiveness, annoyance, and frustration, the tone is neutral and lacks emotional undertones. The facial expressions, although indicating sadness and doubt, do not align with the sarcastic tone hinted at in the phrase ""You want to look pretty. At work."" The context of the hospital setting and the speaker's calm demeanor further support the conclusion that the video is non-sarcastic."
62,1_S09E21_024_u,"The video is sarcastic because the speaker's utterance ""You mean like through their window from behind a bush?"" conveys a playful, tongue-in-cheek tone, with an obvious exaggeration that implies irony and humor. The speaker's assertive and somewhat aggressive tone, combined with the facial expressions of raised brows, wrinkled nose, and tightened lips, suggest a sense of tension and anxiety, which is at odds with the lighthearted and humorous language used. This contrast between the speaker's tone and language reinforces the sarcastic tone, implying that the speaker is not being serious and is instead using irony to convey a humorous effect."
63,1_12275_u,"The video is non-sarcastic because the speaker's utterance conveys genuine excitement and enthusiasm about having meatloaf, as evidenced by the phrase ""you don't have to not ask me twice,"" which implies eagerness and willingness. The tone is casual, conversational, and humorous, with no hint of sarcasm. The speaker's facial expressions and emotional cues, such as raised brows, lip corners, and dimples, suggest happiness and surprise, further supporting the non-sarcastic label."
64,4_S01E07_148_u,"Here is a concise summary:

The video is non-sarcastic because the speaker's utterance ""Your lips say no, your shoes say yes"" conveys a playful and humorous tone, with a primary underlying emotion of amusement. The sentiment expressed is gentle teasing, rather than criticism or seriousness. Although there is a hint of sarcasm, it is subtle and adds to the lighthearted tone. The speaker's facial expressions and tone, characterized as stern and authoritative, do not match the playful tone of the utterance, further supporting the non-sarcastic label."
65,2_2_u,"The video is sarcastic because the speaker's utterance, ""That's a good one too Pheebs, now all that I have to do is find a plane load of people whose resolution is to plummet to their deaths"", conveys dark humor and irony, implying that finding people willing to die in a plane crash is a ridiculous task. The tone is playful yet unsettling, characteristic of dark humor, and the use of the phrase ""plummet to their deaths"" adds to the dramatic and sarcastic tone. The speaker's facial expressions, such as raised brows and tightened lips, also suggest a mix of emotions, including surprise, fear, and contempt, further supporting the sarcastic label."
66,1_7341_u,"The video is non-sarcastic because the speaker's primary emotion is frustration, conveyed through a critical and slightly sarcastic tone, but the man in space's speech is characterized by seriousness, monotony, neutrality, and professionalism, lacking any emotional bias or influence. The speaker's facial expressions, although showing a range of emotions, do not consistently convey sarcasm. The sarcastic tone is mainly evident in the phrase ""he might as well be at the Coffee Bean over on Lake Street,"" which is an isolated instance, whereas the overall tone of the video is more serious and professional."
